Jahr,Schul_ID,Status,Anzahl Aussenstellen,RB,KKZ,RKZ,Schulname,Strasse,PLZ,Ort,Telefon,Fax,Schulgliederung,Schulart,Schulform,Bildungsgangbezeichnung,Schueler_insgesamt,Schueler_in_Klassenstufe_1,Schueler_in_Klassenstufe 2,Schueler_in_Klassenstufe_3,Schueler_in_Klassenstufe_4,Schueler_in_Klassenstufe_5,Schueler_in_Klassenstufe_6,Schueler_in_Klassenstufe_7,Schueler_in_Klassenstufe_8,Schueler_in_Klassenstufe_9,Schueler_in_Klassenstufe_10,Schueler_in_Klassenstufe_11,Schueler_in_Klassenstufe_12,Schueler_in_Klassenstufe_13,Klassen_insgesamt,Klassen_in_Klassenstufe_1,Klassen_in_Klassenstufe_2,Klassen_in_Klassenstufe 3,Klassen_in_Klassenstufe 4,Klassen_in_Klassenstufe 5,Klassen_in_Klassenstufe 6,Klassen_in_Klassenstufe 7,Klassen_in_Klassenstufe 8,Klassen_in_Klassenstufe 9,Klassen_in_Klassenstufe 10,Klassen_in_Klassenstufe_11,Klassen_in_Klassenstufe_12,Klassen_in_Klassenstufe_13
2015,75774,o,0,1,136,136088,Schubart-Gymnasium Partnerschule für Europa,Rombacher Straße 30,73430,Aalen,07361/9561-0,07361/9561-20,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",678,0,0,0,0,58,80,74,78,102,118,0,88,80,20,0,0,0,0,2,3,3,3,4,5,0,0,0
2015,75810,o,0,1,136,136088,Theodor-Heuss-Gymnasium,Friedrichstraße 70,73430,Aalen,07361/95603,07361/9560-50,16110,16 - Gymnasien,Gymnasium (G9),"Gymnasium, 9-jähriger Bildungsgang",448,0,0,0,0,135,113,119,81,0,0,0,0,0,16,0,0,0,0,5,4,4,3,0,0,0,0,0
2015,75810,o,0,1,136,136088,Theodor-Heuss-Gymnasium,Friedrichstraße 70,73430,Aalen,07361/95603,07361/9560-50,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",328,0,0,0,0,0,0,0,20,78,75,0,80,75,7,0,0,0,0,0,0,0,1,3,3,0,0,0
2015,75846,o,0,1,136,136088,Kopernikus-Gymnasium Wasseralfingen,Am Schäle 19,73433,Aalen,07361/97706,07361/977080,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",575,0,0,0,0,61,79,70,78,67,75,0,75,70,17,0,0,0,0,2,3,3,3,3,3,0,0,0
2015,75849,o,0,1,118,118048,Märike-Gymnasium,Karlstraße 19,71638,Ludwigsburg,07141/910-2339,07141/910-2653,16110,16 - Gymnasien,Gymnasium (G9),"Gymnasium, 9-jähriger Bildungsgang",394,0,0,0,0,150,145,99,0,0,0,0,0,0,14,0,0,0,0,5,5,4,0,0,0,0,0,0
2015,75849,o,0,1,118,118048,Märike-Gymnasium,Karlstraße 19,71638,Ludwigsburg,07141/910-2339,07141/910-2653,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",641,0,0,0,0,29,31,47,92,99,144,0,123,76,17,0,0,0,0,1,1,2,4,4,5,0,0,0
2015,75885,o,0,1,118,118003,Friedrich-List-Gymnasium Asperg,Lyonel-Feininger-Weg 3,71679,Asperg,07141/6812110,07141/6812120,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",570,0,0,0,0,70,84,87,63,60,77,0,55,74,18,0,0,0,0,3,3,4,3,2,3,0,0,0
2015,75921,o,0,1,119,119008,Max-Born-Gymnasium,Maubacher Straße 62,71522,Backnang,07191/91400,07191/914050,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",804,0,0,0,0,86,91,95,123,128,91,0,87,103,24,0,0,0,0,3,3,4,5,5,4,0,0,0
2015,75939,o,0,1,119,119008,Gymnasium in der Taus,Häfnersweg 63,71522,Backnang,07191/90460,07191/904646,16110,16 - Gymnasien,Gymnasium (G9),"Gymnasium, 9-jähriger Bildungsgang",309,0,0,0,0,111,101,97,0,0,0,0,0,0,12,0,0,0,0,4,4,4,0,0,0,0,0,0
2015,75939,o,0,1,119,119008,Gymnasium in der Taus,Häfnersweg 63,71522,Backnang,07191/90460,07191/904646,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",288,0,0,0,0,0,0,0,50,58,61,0,61,58,8,0,0,0,0,0,0,0,2,3,3,0,0,0
2015,75975,o,0,1,128,128007,Deutschorden-Gymnasium,Kopernikusstraße 11,97980,Bad Mergentheim,07931/574070,07931/574913,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",558,0,0,0,0,65,79,73,67,74,75,0,64,61,20,0,0,0,0,3,4,3,3,3,4,0,0,0
2015,76011,o,0,1,125,125007,Hohenstaufen-Gymnasium,Schulstraße 23,74206,Bad Wimpfen,07063/9336-0,07063/933612,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",729,0,0,0,0,105,107,92,86,101,93,0,77,68,23,0,0,0,0,4,4,4,3,4,4,0,0,0
2015,76047,o,0,1,125,125008,Herzog-Christoph-Gymnasium,Dammstraße 20,71717,Beilstein,07062/3232,07062/3074,16110,16 - Gymnasien,Gymnasium (G9),"Gymnasium, 9-jähriger Bildungsgang",498,0,0,0,0,170,124,106,98,0,0,0,0,0,19,0,0,0,0,6,5,4,4,0,0,0,0,0
2015,76047,o,0,1,125,125008,Herzog-Christoph-Gymnasium,Dammstraße 20,71717,Beilstein,07062/3232,07062/3074,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",371,0,0,0,0,0,0,0,26,111,84,0,81,69,8,0,0,0,0,0,0,0,1,4,3,0,0,0
2015,76083,o,0,1,118,118007,Christoph-Schrempf-Gymnasium Besigheim,Auf dem Kies 27,74354,Besigheim,07143/80560,07143/35471,16111,16 - Gymnasien,Gymnasium (G8),"Gymnasium, 8-jähriger Bildungsgang",708,0,0,0,0,95,103,79,110,99,80,0,75,67,22,0,0,0,0,4,4,3,4,4,3,0,0,0
