X,Y,fid,gml_id,OBJECTID,C_S_Nr,C_S_Name,C_S_SG,C_S_Str,C_S_HNr,C_S_PLZ,C_S_Ort,C_S_Email,C_S_HomeP,C_S_GEO_X,C_S_GEO_Y,C_S_Status,C_S_SF,C_S_SF_Sta,C_S_GTA,C_S_Traeg,C_S_SI,C_S_PrSt,C_S_SuS,C_S_SuS_ES,C_S_SuS_PS,C_S_SuS_S1,C_S_SuS_S2,Schwerpunkt
569881.561,5934722.318,C_2015_Schulen_PrSt.0,id7eebf4a2-c49a-4258-9f91-d5d64dc8370c,1,3201,Katholische Schule Hammer Kirche,8009,Bei der Hammer Kirche,10,20535,Hamburg,mail@schule-hammer-kirche.de,http://www.schule-hammer-kirche.de,569881.561,5934722.318,privat,G,Gp,ohne Ganztagsangebot,Katholischer Schulverband Hamburg,4,PrSt,314,51,263,0,0,
567209.159,5934811.86799999978,C_2015_Schulen_SekI.0,id94be87d3-4fbf-4dc1-b111-a597578bed1b,2,3202,Domschule St. Marien (Stadtteilschule),5005,Schmilinskystraße,70,20099,Hamburg,sekretariat@domschule.kshh.de,http://www.domschule-hamburg.de,567209.159,5934811.868,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,,263,0,0,263,0,
573408.242,5932978.11099999957,C_2015_Schulen_PrSt.1,ideab3ef1b-c582-4af5-9744-68249492b3c2,3,3203,Katholische Schule St. Paulus,12014,Öjendorfer Weg,14,22111,Hamburg,Sekretariat@kath-schule-st-paulus.kshh.de,http://www.kath-schule-st-paulus.de,573408.242,5932978.111,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,PrSt,646,55,293,298,0,
563335.257,5934928.298,C_2015_Schulen_PrSt.2,idff6e6a4d-1a66-41f6-8f80-45efa494d282,4,3204,Katholische Schule Altona,21002,Dohrnweg,6,22767,Hamburg,sekretariat@kath-schule-altona.kshh.de,http://www.katholische-schule-altona.de,563335.257,5934928.298,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,2,PrSt,298,20,131,147,0,
561220.908,5933980.45799999963,C_2015_Schulen_PrSt.3,idee10e18f-633e-43bb-83d7-afcd8006dddf,5,3205,Katholische Schule St. Marien - Eulenstraße,24007,Eulenstraße,68,22763,Hamburg,sekretariat@kath-schule-st-marien.kshh.de,,561220.908,5933980.458,privat,G,Gp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,5,PrSt,125,24,101,0,0,
554479.141,5935086.865,C_2015_Schulen_PrSt.4,idd8eb1da7-56f4-49cd-8398-b727bb1a09e3,6,3206,Katholische Schule Blankenese,31005,Mörikestraße,16,22587,Hamburg,sekretariat@kath-schule-blankenese.kshh.de,http://kath-schule-blankenese.kshh.de,554479.141,5935086.865,privat,G,Gp,unbekannt,Katholischer Schulverband Hamburg,6,PrSt,262,0,262,0,0,
563401.105,5936992.785,C_2015_Schulen_PrSt.5,id7f771102-e4a8-49c3-af0b-f1ba08063398,7,3207,Katholische Schule Am Weiher - St. Bonifatius,35010,Am Weiher,29,20255,Hamburg,sekretariat@kath-schule-am-weiher.kshh.de,,563401.105,5936992.785,privat,G,Gp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,5,PrSt,306,32,274,0,0,
565276.106,5936518.733,C_2015_Schulen_PrSt.6,id0faa68b4-4166-4050-b003-845017708825,8,3208,Katholische Schule Hochallee,37007,Hochallee,9,20149,Hamburg,leitung@kath-schule-hochallee.kshh.de,,565276.106,5936518.733,privat,G,Gp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,6,PrSt,218,0,218,0,0,
568483.788,5937205.02,C_2015_Schulen_PrSt.7,id90653d1f-0c41-4617-ad8a-0b3f017e9538,9,3209,Katholische Sophienschule,51008,Elsastraße,46,22083,Hamburg,sekretariat@kath-sophienschule.kshh.de,http://www.katholische-sophienschule.de,568483.788,5937205.02,privat,G,Gp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,5,PrSt,277,55,222,0,0,
565950.309,5939338.194,C_2015_Schulen_PrSt.8,id05eb156f-2de4-4c7b-bd09-286da4825236,11,3211,Katholische Schule St. Antonius,48006,Alsterdorfer Straße,71,22299,Hamburg,sekretariat@kath-schule-st-antonius.kshh.de,,565950.309,5939338.194,privat,G,Gp,unbekannt,Katholischer Schulverband Hamburg,6,PrSt,308,54,254,0,0,
567078.194,5945273.64,C_2015_Schulen_PrSt.9,id0d914e54-6034-4370-9675-cd4a5bf694b9,12,3212,Katharina-von-Siena-Schule,56016,Eberhofweg,75,22415,Hamburg,sekretariat@katharina-von-siena-schule.kshh.de,http://www.katharina-von-siena-schule.de,567078.194,5945273.64,privat,G,Gp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,5,PrSt,359,56,303,0,0,
574225.426,5940351.127,C_2015_Schulen_PrSt.10,idc7ae73da-828c-415b-b6ce-a6857c57f7eb,13,3213,Katholische Schule Farmsen,62010,Rahlstedter Weg,15,22159,Hamburg,sekretariat@kath-schule-farmsen.kshh.de,http://www.ksfhh.de,574225.426,5940351.127,privat,G,Gp,unbekannt,Katholischer Schulverband Hamburg,5,PrSt,427,75,352,0,0,
571270.027,5936650.774,C_2015_Schulen_PrSt.11,id32a58528-7fae-4fa1-a604-2cd1d2d5c58b,14,3214,Katholische Schule St. Joseph - Wandsbek,58012,Böhmestraße,3,22041,Hamburg,sekretariat@kath-schule-st-joseph.kshh.de,http://www.kath-schule-wandsbek.de,571270.027,5936650.774,privat,G,Gp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,4,PrSt,232,0,232,0,0,
580649.406,5927671.258,C_2015_Schulen_PrSt.12,ide057aec1-141d-4770-ad31-c95e44353e56,15,3215,Katholische Schule Bergedorf,76007,Chrysanderstraße,40,21029,Hamburg,Sekretariat@kath-schule-bergedorf.kshh.de,http://www.katholische-schule-bergedorf.de,580649.406,5927671.258,privat,G,Gp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,4,PrSt,467,78,389,0,0,
564388.602,5923649.642,C_2015_Schulen_PrSt.13,idcf027122-773b-46b7-9a5a-9831382b8ab8,16,3216,Katholische Schule Harburg,88006,Reeseberg,8,21073,Hamburg,sekretariat@kath-schule-harburg.kshh.de,,564388.602,5923649.642,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,PrSt,690,66,297,327,0,
565436.761,5928874.437,C_2015_Schulen_PrSt.14,idda3a2042-0b19-4104-86af-95a2e844142e,17,3217,Katholische Bonifatiusschule,16015,Bonifatiusstraße,2,21107,Hamburg,schule@bonifatiusschule.de,http://www.bonifatiusschule.de/,565436.761,5928874.437,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,PrSt,637,38,296,303,0,
567993.87,5941340.93499999959,C_2015_Schulen_PrSt.15,idd8b992c7-cb30-4e77-b604-edfe93565d5e,18,3218,"Bugenhagen-Schule Alsterdorf, Schule für Kinder mit besonderem Förderbedarf",47006,Alsterdorfer Straße,506,22337,Hamburg,schulbuero@bugi.de,http://www.bugi.de,567993.87,5941340.935,privat,SO,SOp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,PrSt,134,0,42,74,18,
556060.735,5925113.5,C_2015_Schulen_PrSt.16,ida2af111f-90c2-4cf0-8cb0-f510d7794da5,21,3222,Katholische Schule Neugraben,101012,Cuxhavener Straße,379,21149,Hamburg,sekretariat@kath-schule-neugraben.kshh.de,,556060.735,5925113.5,privat,STS,STSp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,3,PrSt,462,40,234,188,0,
553487.469,5935111.05599999987,C_2015_Schulen_PrSt.17,idecabb77b-7b62-4606-bebd-bb7c00b126d7,24,3225,Bugenhagen-Schule im Hessepark (Grundschule),31004,Oesterleystraße,22,22587,Hamburg,schulbuero@bugi.de,,553487.469,5935111.056,privat,G,Gp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,PrSt,63,0,63,0,0,
567993.87,5941340.93499999959,C_2015_Schulen_PrSt.18,id569923d0-30d8-4524-8b06-77729e74e10b,28,3229,Bugenhagen-Schule Alsterdorf (Grundschule),47006,Alsterdorfer Straße,506,22337,Hamburg,schulbuero@bugi.de,,567993.87,5941340.935,privat,G,Gp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,PrSt,267,0,267,0,0,
567209.159,5934811.86799999978,C_2015_Schulen_PrSt.19,id4112815c-7a5e-419c-b9f7-44180350f4ce,29,3230,Domschule St. Marien (Grundschule),5005,Schmilinskystraße,70,20099,Hamburg,sekretariat@domschule.kshh.de,,567209.159,5934811.868,privat,G,Gp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,3,PrSt,89,0,89,0,0,
557548.124,5936367.637,C_2015_Schulen_PrSt.20,id5b03f231-1022-4989-afc5-cf7e0c66842a,30,3231,Bugenhagen-Schule Groß Flottbek,25004,Bei der Flottbeker Mühle,28,22607,Hamburg,schulbuero@bugi.de,http://www.bugenhagenschulen.de,557548.124,5936367.637,privat,G,Gp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,PrSt,89,0,89,0,0,
570176.558,5935254.979,C_2015_Schulen_PrSt.21,id432fe9eb-52c5-4933-9b81-36e334efed76,31,3232,"Bugenhagen-Schule Hamm, Evangelische Grundschule Paulus",8003,Quellenweg,10,20535,Hamburg,schulbuero@bugi.de,http://www.bugenhagen-schulen.de,570176.558,5935254.979,privat,G,Gp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,PrSt,96,0,96,0,0,
