Schulart,Kreis,Ort,Schul-Nr.,Name,Bezeichnung,Straße,Plz,Ort,Tel-Nr.,Fax-Nr.,E-Mail,Internetadresse,Rechtsstatus,Beteiligung an schularübergreifendergreifender Orient.stufe,Ganztagsschule in,Schüler_insgesamt,weiblich,männlich,Deutsche,Ausländer,zusammen,dar. Deutsche,Elementarstufe,Primarstufe,Sekundarstufe I,Sekundarstufe II,Ober- und Werkstufe,Lehrkräfte Vollzeit,Lehrkräfte Teilzeit,pädagogische Fachkräfte Vollzeit,pädagogische Fachkräfte Teilzeit
Förderschule,"Ahrweiler, LK",Bad Neuenahr-Ahrweiler  Stadt,31327,Don-Bosco-Schule                   ,SFLSFS Bad Neuenahr-Ahrweiler      ,St. Piusstr. 23,53474,Bad Neuenahr-Ahrweiler  Stadt,	(02641)34778	,	(02641)359492	,	don-bosco-schule-aw@gmx.de	,-,öffentliche Schule,N,verpflichtender Form,189,78,111,165,24,40,16,-,53,136,-,-,25,9,1,-
Förderschule,"Ahrweiler, LK",Bad Neuenahr-Ahrweiler  Stadt,31687,Levana-Schule                      ,SFGM Bad Neuenahr-Ahrweiler        ,St. Pius-Str. 25,53474,Bad Neuenahr-Ahrweiler  Stadt,	(02641)36611	,	(02641)900899	,	rektor@levana-aw.de	,http://www.levana-aw.de,öffentliche Schule,N,verpflichtender Form,70,27,43,59,11,16,5,-,-,-,-,70,2,5,11,6
Förderschule,"Ahrweiler, LK",Burgbrohl,30622,Burgweg-Schule                     ,SFL Burgbrohl                      ,Burgweg 6,56659,Burgbrohl,	(02636)929590	,	(02636)929592	,	post@burgweg-schule.de	,http://www.burgweg-schule.de,öffentliche Schule,N,Angebotsform,44,20,24,38,6,8,2,-,15,29,-,-,6,1,-,-
Förderschule,"Ahrweiler, LK",Sinzig  ,30605,Janusz-Korczak-Schule              ,SFL Sinzig                         ,Beethovenstr. 3,53489,Sinzig  ,	(02642)9790-0	,	(02642)9790-22	,	info@jks-sinzig.de	,http://jks-sinzig.de,öffentliche Schule,N,Angebotsform,101,46,55,89,12,29,17,-,25,76,-,-,15,6,-,1
Förderschule,"Altenkirchen (Ww), LK",Scheuerfeld,31344,Maximilian-Kolbe-Schule            ,SFL Scheuerfeld                    ,Maximilian-Kolbe-Str. 1,57584,Scheuerfeld,	(02741)22391	,	(02741)971892	,	max.kolbe@rz-online.de	,http://maxkolbeschule-scheuerfeld.de,öffentliche Schule,N,Angebotsform,121,49,72,120,1,1,-,-,23,98,-,-,25,9,2,7
Förderschule,"Altenkirchen (Ww), LK",Wissen  ,31224,Förderschule am Alserberg          ,SFGM Wissen	                       ,Holschbacher Str. 87,57537,Wissen  ,	(02742)3642	,	(02742) 911245	,	schulleitung@sfgwissen.de	,http://www.sfgwissen.de,öffentliche Schule,N,verpflichtender Form,83,25,58,78,5,6,1,-,-,-,-,83,5,3,21,5
Förderschule,"Altenkirchen (Ww), LK",Wissen  ,31357,Wilhelm-Busch-Schule               ,SFL Wissen                         ,Böhmer-Str. 14,57537,Wissen  ,	(02742)910703	,	(02742)910704	,	wbschule@web.de	,-,öffentliche Schule,N,Angebotsform,85,34,51,85,-,-,-,-,14,71,-,-,16,12,4,4
Förderschule,"Alzey-Worms, LK",Alzey  ,31270,Löwenschule Alzey                  ,SFG Alzey                          ,Kirchenplatz 6a,55232,Alzey  ,	(06731)990950	,	(06731) 9909519	,	info@loewenschule-alzey.de	,http://www.loewenschule-alzey.de,öffentliche Schule,N,verpflichtender Form,67,19,48,58,9,14,5,-,-,-,-,67,4,3,16,2
Förderschule,"Alzey-Worms, LK",Alzey  ,31447,Volkerschule                       ,SFL Alzey                          ,Dr.-Georg-Durst-Str. 30,55232,Alzey  ,	(06731)7168	,	06731/943341	,	info@volkerschule.de	,www. volkerschule-alzey.bildung-rp.de,öffentliche Schule,N,Angebotsform,112,38,74,94,18,20,2,-,22,90,-,-,30,4,1,-
Förderschule,"Alzey-Worms, LK",Osthofen  ,31673,Wonnegauschule                     ,SFL Osthofen                       ,Heinrich-Heine-Str. 13,67574,Osthofen  ,	(06242)7997	,	(06242)990910	,"	info@wonnegauschule.,de	",http://www.wonnegauschule.de,öffentliche Schule,N,Angebotsform,75,36,39,66,9,21,12,-,15,60,-,-,12,6,1,1
