X,Y,gml_id,Name,Schul_ID,Schulform,Schulicon,Adresse,Ort,bezirk,stadtteil,Telefon,FAX,rechtsform,internet,email,is_rebbz,name_rebbz,schueleranzahl,schueleranzahl_schuljahr
10.02788,53.618193,APP_HH_SCHULEN_DWH_63087,Zukunftsschule Alsterpalais (Stadtteilschule),8502-0,Stadtteilschulen,mehrere Schulen,Alsterdorfer Straße 523,22337 Hamburg,Hamburg-Nord,Alsterdorf,+40 40 529 85-157,+49 40 529 85-184,staatlich genehmigte Ersatzschule,http://www.flachsland-hamburg.de,primar.alsterpalais@flachsland-hamburg.de,false,"<a href=""http://www.hamburg.de/rebbz-nord-beratung/"">ReBBZ Nord</a>",22,2013
10.018222,53.551056,APP_HH_SCHULEN_DWH_63088,Privates Abendgymnasium Brecht,8405-0,Gymnasien,mehrere Schulen,Norderstraße 163- 165,20097 Hamburg,Hamburg-Mitte,St. Georg,+ 49 40 21 11 12-0,+49 40 21 11 12-20,staatlich anerkannte Ersatzschule,http://www.brecht-schulen.de,info@brecht-schulen.de,false,ReBBZ Mitte,277,2013
10.026995,53.547448,APP_HH_SCHULEN_DWH_63089,Bilinguales Gymnasium Phorms Hamburg,8302-0,Gymnasien,mehrere Schulen,Wendenstraße 35-43,20097 Hamburg,Hamburg-Mitte,Hammerbrook,+49 40 32537050,+49 40 325 370-55,staatlich genehmigte Ersatzschule,http://www.hamburg.phorms.de,hamburg@phorms.de,false,ReBBZ Mitte,40,2013
9.854589,53.562504,APP_HH_SCHULEN_DWH_63090,Jenisch-Gymnasium,8301-0,Gymnasien,Gymnasien,Jenischstraße 48,22609 Hamburg,Altona,Osdorf,+49 40 8 26 00-2,+49 40 8 23 33-7,staatlich anerkannte Ersatzschule,http://www.jenisch-gymnasium.de/,info@jenisch-gymnasium.de,false,ReBBZ Altona-West,307,2013
10.069795,53.555064,APP_HH_SCHULEN_DWH_63091,Wichern-Schule (Grundschule),8204-0,Grundschulen,mehrere Schulen,Horner Weg 164,22111 Hamburg,Hamburg-Mitte,Horn,+49 40 655 91-191,+49 40 655 91-256,staatlich anerkannte Ersatzschule,,wichern-schule@rauheshaus.de,false,ReBBZ Billstedt,283,2013
10.069795,53.555064,APP_HH_SCHULEN_DWH_63092,Wichern-Schule (Gymnasium),8202-0,Gymnasien,mehrere Schulen,Horner Weg 164,22111 Hamburg,Hamburg-Mitte,Horn,+49 40 6 55 91-190,+49 40 6 55 91-256,staatlich anerkannte Ersatzschule,http://www.wichern-schule.de,wichern-schule@rauheshaus.de,false,ReBBZ Billstedt,736,2013
10.069795,53.555064,APP_HH_SCHULEN_DWH_63093,Wichern-Schule (Stadtteilschule),8201-0,Stadtteilschulen,mehrere Schulen,Horner Weg 164,22111 Hamburg,Hamburg-Mitte,Horn,+49 40 6 55 91-191,+49 40 6 55 91-256,staatlich anerkannte Ersatzschule,http://www.wichern-schule.de,wichern-schule@rauheshaus.de,false,ReBBZ Billstedt,609,2013
10.124185,53.627898,APP_HH_SCHULEN_DWH_63094,Haus des Lernens,8118-0,Stadtteilschulen,Stadtteilschulen,Lienaustraße 1418,22159 Hamburg,Wandsbek,Farmsen-Berne,6 38 56 - 990,6 38 56 - 9929,staatlich genehmigte Ersatzschule,,schule-hh@haus-des-lernens.org,false,"<a href=""http://www.hamburg.de/rebbz-wandsbek-nord-beratung/"">ReBBZ Wandsbek-Nord</a>",14,2013
9.959604,53.465309,APP_HH_SCHULEN_DWH_63095,Michael Schule,8117-0,Sonderschulen,Sonderschulen,Woellmerstraße 1,21075 Hamburg,Harburg,Heimfeld,+49 40 70973778-0,+49 40 70973778-19,staatlich genehmigte Ersatzschule,,mail@michaelschule.net,false,"<a href=""http://www.frieda-stoppenbrink-schule.de"">ReBBZ Süderelbe</a>",112,2013
10.216801,53.485107,APP_HH_SCHULEN_DWH_63096,Rudolf-Steiner-Schule Bergedorf,8115-0,Stadtteilschulen,Stadtteilschulen,Am Brink 7,21029 Hamburg,Bergedorf,Bergedorf,7 21 22 22,+49 40 721 22-41,staatlich anerkannte Ersatzschule,http://waldorfschule-bergedorf.de,email@waldorfschule-bergedorf.de,false,ReBBZ Bergedorf,423,2013
