X,Y,fid,gml_id,OBJECTID,C_S_Nr,C_S_Name,C_S_SG,C_S_Str,C_S_HNr,C_S_PLZ,C_S_Ort,C_S_Email,C_S_HomeP,C_S_GEO_X,C_S_GEO_Y,C_S_Status,C_S_SF,C_S_SF_Sta,C_S_GTA,C_S_Traeg,C_S_SI,C_S_SuS,C_S_SuS_ES,C_S_SuS_PS,C_S_SuS_S1,C_S_SuS_S2,C_S_PrSt,Schwerpunkt
567209.159,5934811.86799999978,C_2015_Schulen_SekI.0,id94be87d3-4fbf-4dc1-b111-a597578bed1b,2,3202,Domschule St. Marien (Stadtteilschule),5005,Schmilinskystraße,70,20099,Hamburg,sekretariat@domschule.kshh.de,http://www.domschule-hamburg.de,567209.159,5934811.868,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,263,0,0,263,0,,
573408.242,5932978.11099999957,C_2015_Schulen_SekI.1,ideab3ef1b-c582-4af5-9744-68249492b3c2,3,3203,Katholische Schule St. Paulus,12014,Öjendorfer Weg,14,22111,Hamburg,Sekretariat@kath-schule-st-paulus.kshh.de,http://www.kath-schule-st-paulus.de,573408.242,5932978.111,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,646,55,293,298,0,PrSt,
563335.257,5934928.298,C_2015_Schulen_SekI.2,idff6e6a4d-1a66-41f6-8f80-45efa494d282,4,3204,Katholische Schule Altona,21002,Dohrnweg,6,22767,Hamburg,sekretariat@kath-schule-altona.kshh.de,http://www.katholische-schule-altona.de,563335.257,5934928.298,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,2,298,20,131,147,0,PrSt,
569827.651,5937897.37899999972,C_2015_Schulen_SekI.3,id32ea1e0b-c390-4510-a2eb-3134f538d8eb,10,3210,Franz-von-Assisi-Schule,53024,Lämmersieth,38,22305,Hamburg,sekretariat@franz-von-assisi-schule.kshh.de,http://www.franz-von-assisi-schule.kshh.de,569827.651,5937897.379,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,250,0,0,250,0,,
564388.602,5923649.642,C_2015_Schulen_SekI.4,idcf027122-773b-46b7-9a5a-9831382b8ab8,16,3216,Katholische Schule Harburg,88006,Reeseberg,8,21073,Hamburg,sekretariat@kath-schule-harburg.kshh.de,,564388.602,5923649.642,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,690,66,297,327,0,PrSt,
565436.761,5928874.437,C_2015_Schulen_SekI.5,idda3a2042-0b19-4104-86af-95a2e844142e,17,3217,Katholische Bonifatiusschule,16015,Bonifatiusstraße,2,21107,Hamburg,schule@bonifatiusschule.de,http://www.bonifatiusschule.de/,565436.761,5928874.437,privat,STS,STSp,GTS ohne Träger,Katholischer Schulverband Hamburg,3,637,38,296,303,0,PrSt,
567993.87,5941340.93499999959,C_2015_Schulen_SekI.6,idd8b992c7-cb30-4e77-b604-edfe93565d5e,18,3218,"Bugenhagen-Schule Alsterdorf, Schule für Kinder mit besonderem Förderbedarf",47006,Alsterdorfer Straße,506,22337,Hamburg,schulbuero@bugi.de,http://www.bugi.de,567993.87,5941340.935,privat,SO,SOp,GTS ohne Träger,Evangelische Stiftung Alsterdorf,-1,134,0,42,74,18,PrSt,
568335.26,5934786.64099999983,C_2015_Schulen_SekI.7,idb0c86f8b-66aa-46be-ae99-971f17021b91,19,3219,Sankt-Ansgar-Schule,7001,Bürgerweide,33,20535,Hamburg,sekretariat@sankt-ansgar-schule.kshh.de,http://www.sankt-ansgar-schule.de,568335.26,5934786.641,privat,GY,GYp,GTS ohne Träger,Katholischer Schulverband Hamburg,5,807,0,0,594,213,,
565935.169,5935251.154,C_2015_Schulen_SekI.8,id15abc7ae-14bb-46b8-b0f2-e45421b1f488,20,3220,Sophie-Barat-Schule,36011,Warburgstraße,39,20354,Hamburg,sekretariat@sbshh.de,http://www.sophie-barat-schule.de/,565935.169,5935251.154,privat,GY,GYp,GTS ohne Träger,Katholischer Schulverband Hamburg,6,923,0,0,725,198,,
556060.735,5925113.5,C_2015_Schulen_SekI.9,ida2af111f-90c2-4cf0-8cb0-f510d7794da5,21,3222,Katholische Schule Neugraben,101012,Cuxhavener Straße,379,21149,Hamburg,sekretariat@kath-schule-neugraben.kshh.de,,556060.735,5925113.5,privat,STS,STSp,GBS (immer mit Träger),Katholischer Schulverband Hamburg,3,462,40,234,188,0,PrSt,
