Schul-nummer,Kreis,Gemeinde,Rechtsform,Gesamtschule,Name der Schule,PLZ,Schulort,"Straße, Hausnummer",Telefon-vorwahl,Telefon-nummer,Ausländische Schüler,Kennung Internat,Vorklassen,Grundschulen,Förderstufe,Hauptschule,Mittelstufen-schule,Realschule,Integrierte Jahrgangs-stufe,Gymnasien,Förderschulen,Schulen für Erwachsene,Schüler insg. mit Vorklassen,Schüler insg. ohne Vorklassen,Fax,Email Adresse
,,,,,,,,,,,,,,,,,,,,,,,,,,
3568,532,9,1,1,Holderbergschule,35713,Eschenburg,Am Holderberg,2774,6031,48,,,,,121,,468,,232,,,837,837,71752,poststelle@holderberg.eschenburg.schulverwaltung.hessen.de
3570,532,6,1,,Goldbachschule,35684,Dillenburg,Rheinstraße,2771,31151,9,,,,,33,,213,,,,,246,246,32470,poststelle@goldbach.dillenburg.schulverwaltung.hessen.de
3571,532,6,1,,Schule am Brunnen,35684,Dillenburg,Schulplatz 3,2771,32396,5,,,174,,,,,,,,,174,174,850034,poststelle@g.frohnhausen.schulverwaltung.hessen.de
3572,532,11,1,,Mittelpunktgrundschule Haiger,35708,Haiger,Ziegeleistraße,2773,5765,11,,10,292,,,,,,,,,302,292,913587,poststelle@g.haiger.schulverwaltung.hessen.de
3573,532,11,1,,Mittelpunkt Grundschule,35708,Haiger,Daalstraße,2773,3430,1,,,75,,,,,,,,,75,75,946072,poststelle@g.dillbrecht.schulverwaltung.hessen.de
3578,532,12,1,,Diesterwegschule,35745,Herborn,Am Hintersand 13,2772,3516,22,,,205,,,,,,,,,205,205,921359,poststelle@diesterweg.herborn.schulverwaltung.hessen.de
3579,532,12,1,,Dernbachschule,35745,Herborn,Hohe Straße 55 a,2772,62445,12,,,103,,,,,,,,,103,103,62489,poststelle@dernbach.herborn.schulverwaltung.hessen.de
3580,532,9,1,,Herbert-Hoover-Schule,35713,Eschenburg,Hohlstraße 8,2770,563,7,,,62,,,,,,,,,62,62,911736,poststelle@herbert-hoover.eschenburg.schulverwaltung.hessen.de
3582,532,11,1,,Grundschule Langenaubach,35708,Haiger,Läbachstraße 11,2773,5184,2,,,70,,,,,,,,,70,70,913609,poststelle@g.langenaubach.schulverwaltung.hessen.de
