Staatl. Schulamt,Landkreis/ kreisfr. Stadt,Schulart/ Org.form,Dst-Nr.:,Schulname,Plz,Ort,"Straße, Haus-Nr.",Telefon,Telefax,E-Mail,Homepage,Schulleitung
RO,HRO,GS,75130301,"Grundschule ""Heinrich Heine"", Rostock",18119,Rostock,Heinrich-Heine-Straße 3,0381/52607,0381/3755641,grs.heine@t-online.de,www.gs-heinrich-heine-warnemuende.de ,"Plaumann, Judith"
RO,HRO,GS,75130302,"Grundschule ""Lütt Matten"", Rostock",18107,Rostock,Turkuer Straße 59 a,0381/713030,0381/1284843,grundschule-LM@t-online.de,www.gs-luett-matten.repage5.de ,"Goldboom, Hanka"
RO,HRO,GS,75130303,"Grundschule ""Kleine Birke"", Rostock",18107,Rostock,Kopenhagener Straße 3,0381/711123,0381/7787404,sekretariat-1302@t-online.de,,"Lorenz, Ines"
RO,HRO,GS,75130305,"Grundschule ""Am Mühlenteich"", Rostock",18106,Rostock,M.-Gorki-Straße 69,0381/7998603,0381/1284968,grs-am-muehlenteich-hro-sl@t-online.de,www.gs-muehlenteich.repage2.de ,"Heinz, Susanne"
RO,HRO,GS,75130306,"Grundschule Schmarl, Rostock",18106,Rostock,St.-Jantzen-Ring 5,0381/1200917,0381/1217142,sl-grundschule-schmarl@t-online.de,,"Kelsch, Martina"
RO,HRO,GS,75130308,"Grundschule ""Am Taklerring"", Rostock",18109,Rostock,Taklerring 44,0381/1201063,0381/1215518,grundschule-taklerring-rostock@t-online.de,,"Babbe, Heike"
RO,HRO,GS,75130311,"St. Georg-Grundschule, Rostock",18055,Rostock,St.-Georg-Straße 63c,0381/38141260,0381/38141263,st.georg-schule-hro@t-online.de,www.stgeorg-grundschule.de ,"Tritten, Dagmar"
RO,HRO,GS,75130312,"Grundschule am Margaretenplatz, Rostock",18057,Rostock,Barnstorfer Weg 21a,0381/4923583,0381/2032809,grundschule-am-margaretenplatz@t-online.de,,"Beckmann, Ramona"
RO,HRO,GS,75130313,"""Werner-Lindemann-Grundschule"", Rostock",18057,Rostock,Elisabethstraße 27,0381/38141081,0381/38141083,Werner-Lindemann-Grundschule@t-online.de,www.lindemann-schule.de ,"Masur, Torsten"
RO,HRO,GS,75130314,"Grundschule ""Juri-Gagarin"", Rostock",18059,Rostock,Joseph-Herzfeld-Straße  19,0381/4010033,0381/4010034,GSGagarin-hro@t-online.de,www.grundschule-juri-gagarin.de ,"Döring, Angelika"
RO,HRO,GS,75130318,"Grundschule ""Ostseekinder"", Rostock",18146,Rostock,W.-Butzek-Straße 23,0381/6864982,0381/6864879,grundschule1919@t-online.de,,"Ritter, Christina"
RO,HRO,GS,75130326,"""Grundschule an den Weiden"",  Rostock-Toitenwinkel",18147,Rostock,P.-Picasso-Straße 44,0381/697093,0381/6668062,grs1924@t-online.de,www.grundschule-toitenwinkel.de ,"Pohl, Thomas"
RO,HRO,GS,75130327,"Grundschule ""Rudolf Tarnow"", Rostock",18109,Rostock,Ratzeburger Straße 9,0381/715101,0381/4405810,info@tarnowschule.de,www.tarnowschule.de ,"Lettrari-Burtzlaff, Renate"
RO,HRO,GS,75130342,"Grundschule ""John Brinckman"", Rostock",18055,Rostock,V.-Grip-Weg 10a,0381/695425,0381/3643332,catrin.leiding@grundschule-brinckmansdorf.de,www.grundschule-brinckmansdorf.de,"Leiding, Catrin"
RO,HRO,GS,75130343,"Gehlsdorfer Grundschule, Rostock",18147,Rostock,Pressentinstraße 82,0381/699276,0381/6664522,gehlsdorfer-gs@gmx.de,www.grundschule-gehlsdorf.de,"Braun, Birgitt"
RO,HRO,GS,75130357,"""Türmchenschule""  Reutershagen, Grundschule",18069,Rostock,J.-Schehr-Straße 10,0381/82013,0381/1288834,tuermchenschule-hro@t-online.de,www.tuermchenschule-hro.de,"Schwerdtfeger, Silke"
RO,HRO,GS,75130358,"Grundschule Reutershagen ""Nordwindkinner""",18069,Rostock,Mathias-Thesen-Straße 17,0381/8087463,0381/8087464,gs-reutershagen@t-online.de,www.grundschule-nordwindkinner.de,"Wegehaupt, Birgit"
RO,HRO,FöL,75230378,"""Schule am Schäferteich"" - Schule mit dem Förderschwerpunkt Lernen - Regionales Förderzentrum Toitenwinkel",18147,Rostock,Pablo-Picasso-Straße 45,0381/690283,0381/6664967,sl-rfz-toitenwinkel@t-online.de,www.schule-am-schaeferteich.de,"Halt, Christiane"
RO,HRO,FöL,75230379,Förderzentrum am Schwanenteich - Schule mit dem Förderschwerpunkt Lernen,18069,Rostock,Kuphalstraße 78,0381/82370,0381/8087337,schuleamschwanenteich@t-online.de,www.schuleamschwanenteich.de,"Altenkirch, Birgit"
RO,HRO,FöKr,75230380,"""Heinrich-Hoffmann-Schule"" - Schule mit dem Förderschwerpunkt Unterricht kranker Schülerinnen und Schüler",18147,Rostock,Gehlsheimer Straße 20,0381/6707150,0381/6707152,schule-fuer-kranke-hro@freenet.de,,"Burgert, Michael"
RO,HRO,FöL,75230381,Förderzentrum an der Danziger Straße - Schule mit dem Förderschwerpunkt Lernen,18107,Rostock,Danziger Straße 45,0381/713045,0381/7787239,foez.danziger-strasse@t-online.de,www.foerderzentrum-danzigerstr.de,"Moscha, Regina"
RO,HRO,FöSp,75230383,"""Schule am Alten Markt"" - Schule mit dem Förderschwerpunkt Sprache",18055,Rostock,Alter Markt 1,0381/4008350,0381/38141033,shfz-rostock@t-online.de,www.sprachheilschule-rostock.de,"Westphal, Beate"
RO,HRO,FöK/GS,75230384,Schulzentrum Paul-Friedrich-Scheel-Schule - Schule mit dem Förderschwerpunkt körperliche und motorische Entwicklung und Grundschulteil,18059,Rostock,Semmelweisstraße 3,0381/440340,0381/4403422,paulfriedrichscheel@gmx.de,www.scheel-schule.de,"Hentzschel, Andrea"
RO,HRO,FöG,75230385,"""Warnowschule Rostock"" Schule mit dem Förderschwerpunkt geistige Entwicklung
Schule zur individuellen Lebensbewältigung Rostock",18107,Rostock,Helsinkier Straße 20,0381/711429,0381/2074940,warnowschule-rostock@t-online.de,,"Roeper, Bianca"
RO,HRO,FöV,75230388,Förderzentrum am Wasserturm - Schule mit dem Förderschwerpunkt emotionale und soziale Entwicklung,18055,Rostock,Blücherstraße 42,0381/712288,0381/2079727,schule-am-wasserturm@gmx.de,,"Schrötter, Silvia"
RO,HRO,KGS,75330361,"Schulcampus Evershagen, Kooperative Gesamtschule",18106,Rostock,Thomas-Morus-Straße 1-3,0381/7998861,0381/7998862,kontakt@schulcampus-rostock.de,www.schulcampus-rostock.de,"Tuschner, Gerald"
RO,HRO,IGS,75330372,"Integrierte Gesamtschule ""Borwinschule""",18057,Rostock,Am Kabutzenhof 8,0381/2003553,0381/38141041,sekretariat1.borwinschule@rostock.de,www.borwinschule.de,"Both, Uwe"
RO,HRO,IGS,75330374,"Hundertwasser-Gesamtschule Rostock, Integrierte Gesamtschule",18109,Rostock,Sternberger Straße 10,0381/711173,0381/7691122,o.meyer@hundertwasser-gesamtschule.de,www.hundertwasser-gesamtschule.de,"Meyer, Olaf"
RO,HRO,IGS/RegS i.A.,75330391,"""Baltic-Schule"" Toitenwinkel
Integrierte Gesamtschule mit Regionaler Schule im Aufbau",18147,Rostock,P.-Picasso-Straße 43,0381/697092,0381/6664536,schulleitung@igs-baltic-schule.de,www.igs-baltic-schule.de,"Häupl, Almut"
RO,HRO,KGS,75330392,"Gesamtschule Südstadt, Kooperative Gesamtschule",18059,Rostock,Mendelejewstraße 12a,0381/4048000,0381/40480014,kgs.hro@t-online.de,www.kooperative-gesamtschule-südstadt.de,"Roscher, Marion"
RO,HRO,IGS/GS,75330393,"Jenaplanschule Rostock, Integrierte Gesamtschule mit Grundschule",18055,Rostock,Lindenstraße 3a,0381/2007523,0381/38141091,jps-hro@gmx.de,www.jenaplan-rostock.de,"Plant, Martin"
RO,HRO,RegS,75430337,"Regionale Schule ""Heinrich-Schütz"", Rostock",18069,Rostock,H.-Schütz-Straße 10a,0381/83910,0381/8002374,schulleiter-schuetz@t-online.de,www.schuetz-schule-rostock.de,"Baumert, Torsten"
RO,HRO,RegS,75430348,"Regionale Schule ""Störtebeker-Schule"", Rostock",18109,Rostock,Taklerring 43,0381/1200928,0381/1215933,stoertebeker-schule-rostock@t-online.de,www.regionale-stoertebeker-schule.de,"Elstner, Sieglinde"
