Gemeindenummer,Schulkenziffer,Trägerschaft,PLZ,Stadt/Gemeinde,Strasse,Bezeichnung der Schule,Telefon,Fax,Email,Internet,Klassen,Schüler/innen_insges,Schüler/innen_weibl,Schulkindergärten_Klassen,Schulkindergärten_Schüler/innen_insges,Schulkindergärten_Schüler/innen_weibl,Ganztagsschule_gebunden,Ganztagsschule_freiwillig,Ganztagsschule_keine,intern,Schultyp
1100,101031,öffentlich,66121,Saarbrücken,Rostocker Straße 97,Grundschule Eschberg,0681-812121,0681-812501,gseschberg@saarbruecken.de,,9,202,96,-,-,-,,,X,1,Grundschule
1100,101051,öffentlich,66111,Saarbrücken,Schumannstraße 42,Max-Ophüls-Grundschule Saarbrücken,0681-36684,0681-36628,max-ophuels-gs-saarbrueckn@web.de,,14,292,145,-,-,-,,X,,1,Grundschule
1100,101071,öffentlich,66115,Saarbrücken,St. Josef-Straße 11,Ganztagsgrundschule Saarbrücken-Kirchberg,0681-42090,0681-4171585,gtgskirchberg@saarbruecken.de,www.kirchbergschule-sb.de,12,263,118,-,-,-,X,,,1,Grundschule
1100,101081,öffentlich,66125,Saarbrücken,Am Geisenberg 41,Grundschule Dudweiler,06897-972380,06897-972382,gsalbertschweitzer@saarbruecken.de,,8,172,90,-,-,-,,X,,1,Grundschule
1100,101111,öffentlich,66113,Saarbrücken,Im Knappenroth 2,Grundschule Rastpfuhl,0681 - 71704,0681-7300540,GSRASTPFUHL@saarbruecken.de,www.gs-rastpfuhl.de,10,204,99,-,-,-, ,X,,1,Grundschule
1100,101131,öffentlich,66113,Saarbrücken,Am Hof 28,Grundschule Russhütte,0681-41166,0681-41620021,gsrusshuette@saarbruecken.de,,6,117,55,-,-,-,,X,,1,Grundschule
1100,101151,öffentlich,66115,Saarbrücken,Kirchberg 3,Grundschule Saarbrücken- Wallenbaum,0681-42001,0681-4170211,,,9,158,74,-,-,-,,X,,1,Grundschule
1100,101211,öffentlich,66125,Saarbrücken,Saarbrücker Straße 289,Grundschule Turmschule Dudweiler,0681-905-8960,0681-905-2367,turmschule.dudweiler@saarbruecken.de,www.turmschule-dudweiler.de,12,256,133,-,-,-,,X,,1,Grundschule
1100,101221,öffentlich,66125,Saarbrücken,Marktstraße 43,Grundschule Herrensohr,06897-762486,06897/972961,GSHerrensohr@saarbruecken.de,,8,130,60,-,-,-,,X,,1,Grundschule
1100,101261,öffentlich,66133,Saarbrücken-Scheidt,Schulstraße 10,Freiwillige Ganztagsgrundschule Plus Sbr.-Scheidt,0681-814652,0681-814674,gscheidt@saarbruecken.de,www.grundschule-scheidt.de,6,120,57,-,-,-,,X,,1,Grundschule
1100,101301,öffentlich,66113,Saarbrücken,Im Knappenroth,Ganztagsgrundschule Rastpfuhl,0681-74325,0681-74339,gtgsrastpfuhl@saarbruecken.de,www.gtgs-rastpfuhl.de,8,194,104,-,-,-,X,,,1,Grundschule
1100,101311,öffentlich,66113,Saarbrücken,Ziegelstrasse 35,Grundschule Rodenhof,0681-42394,0681-498776,gsrodenhof@saarbruecken.de,,8,146,67,-,-,-,,,X,1,Grundschule
1100,101331,öffentlich,66121,Saarbrücken,Hellwigstraße 20,Grundschule Saarbrücken-Ost,0681-66497,0681-66497,gsostschule@saarbruecken.de,,13,278,123,-,-,-,,X,,1,Grundschule
1100,201021,öffentlich,66117,Saarbrücken,Dellengartenstraße 2,Grundschule Dellengarten,0681-5849462,0681-5849460,gsdellengarten@saarbruecken.de,,11,206,95,-,-,-,,,X,1,Grundschule
1100,201041,öffentlich,66115,Saarbrücken,Im Füllengarten 89,Grundschule Füllengarten,0681-9767124,0681-9767125,gsfuellengarten@saarbruecken.de,www.grundschule-fuellengarten.de,8,155,59,-,-,-,X,X,,1,Grundschule
1100,201081,öffentlich,66117,Saarbrücken,Am Heidenhübel 1,Grundschule Folsterhöhe,0681-57870,0681-5849412,gsfolsterhoehe@saarbruecken.de,www.gs-folsterhoehe.de,6,98,46,-,-,-,,X,,1,Grundschule
1100,201091,öffentlich,66117,Saarbrücken,Moltkestraße 31,Grundschule Am Ordensgut,0681-581882,0681-581877,gsordensgut@saarbruecken.de,www.grundschule-am-ordensgut.de,8,156,76,-,-,-,,X,,1,Grundschule
1100,201141,öffentlich,66119,Saarbrücken,Arnulfstraße 15,Grundschule St. Arnual,0681-9850184,0681-9850189,gsstarnual@saarbruecken.de,,12,250,108,-,-,-,,X,,1,Grundschule
